"Part";"Value";"Device";"Package";"Description";"MK";"OC_DIGIKEY";"REF";"VEN";
"K1";"";"615008144221";"615008144221";"WR-MJ Vertical Plastic 8P8C Modular Jack With Ears, 8 pins=>Code : Con_I-O_MJ-V_Plastic_615008144221";"";"";"";"";
"K2";"";"615008144221";"615008144221";"WR-MJ Vertical Plastic 8P8C Modular Jack With Ears, 8 pins=>Code : Con_I-O_MJ-V_Plastic_615008144221";"";"";"";"";
"K3";"";"615008144221";"615008144221";"WR-MJ Vertical Plastic 8P8C Modular Jack With Ears, 8 pins=>Code : Con_I-O_MJ-V_Plastic_615008144221";"";"";"";"";
"PWD";"";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";
"U1";"";"PHOTON_WITH_HEADERS";"PHOTON";"";"";"";"";"";
"X1";"B3B-XASTD";"B3B-XASTD";"B3B-XA";"JST XA 3POS 2.5MM";"DIGIKEY";"455-1990-ND";"B03B-XASK-1";"JST";
"X2";"B3B-XASTD";"B3B-XASTD";"B3B-XA";"JST XA 3POS 2.5MM";"DIGIKEY";"455-1990-ND";"B03B-XASK-1";"JST";
"X3";"B3B-XASTD";"B3B-XASTD";"B3B-XA";"JST XA 3POS 2.5MM";"DIGIKEY";"455-1990-ND";"B03B-XASK-1";"JST";
"X4";"B3B-XASTD";"B3B-XASTD";"B3B-XA";"JST XA 3POS 2.5MM";"DIGIKEY";"455-1990-ND";"B03B-XASK-1";"JST";
"X5";"B3B-XASTD";"B3B-XASTD";"B3B-XA";"JST XA 3POS 2.5MM";"DIGIKEY";"455-1990-ND";"B03B-XASK-1";"JST";
"X6";"B3B-XASTD";"B3B-XASTD";"B3B-XA";"JST XA 3POS 2.5MM";"DIGIKEY";"455-1990-ND";"B03B-XASK-1";"JST";
"X7";"B3B-XASTD";"B3B-XASTD";"B3B-XA";"JST XA 3POS 2.5MM";"DIGIKEY";"455-1990-ND";"B03B-XASK-1";"JST";
"X8";"B3B-XASTD";"B3B-XASTD";"B3B-XA";"JST XA 3POS 2.5MM";"DIGIKEY";"455-1990-ND";"B03B-XASK-1";"JST";
